"id","profileName","text","date","title","rating","images","helpful","variant:colour","variant:size","variant:"
"R9XEOL8LGG4XP","Jain","A17 Pro chipset is definitely fast. Even with iOS 17.1.1 the phone heats up while using (surprisingly not much while charging through MagSafe Charger).Fantastic camera setup, though a 5X zoom is missed. Speakers are loud and clear.Battery life is good, charges fast on Apple 20W charger and the supplied braided TypeC to TypeC cable.","Reviewed in India on 16 November 2023","Worth the Price!","5.0 out of 5 stars","https://m.media-amazon.com/images/I/61aO5vuTQOL.jpg","34","Natural Titanium","128 GB",
"RHWLLVHLZ8F0L","ravi gupta","Sound quality , display, camera , video recording, speed, response time…… top notch.Sound quality is supreme… battery performance is good too… getting 8-9 hrs screen time with normal usages. so happy with the purchase. Hitting issue is not there at all.I suppose, Apple has fixed it with their new release. Whatever it is money you paid is worth every penny.","Reviewed in India on 21 December 2023","Fabulous is the word","5.0 out of 5 stars","","8","Natural Titanium","256 GB",
"R1XQZ5EC1HQVJ","Kindle Customer","Item was delivered with damage. Item not working as well. Very Worst experience. No proper channel to contact for assistance. No valid Apple customer care number available in replacement window. Amazon too cares nothing about this issue despite reaching them umpteen times.","Reviewed in India on 21 January 2024","Product damaged. Worst. Item defective.","1.0 out of 5 stars","","6","White Titanium","256 GB",
"R33D7LR03PWVSF","kriti","Battery life is not good. 14 pro and 14 plus has better battery life. Also, Heating issue is there which is irritating.","Reviewed in India on 15 December 2023","Bad battery life","4.0 out of 5 stars","","5","Natural Titanium","256 GB",
"RBOGWB7LELB99","Atmadeep","Bought it for my mum. Apple does not give any space to consumers to complain. She is happy with it and finds it of utmost use!","Reviewed in India on 4 January 2024","Excellent Gadget","5.0 out of 5 stars","https://m.media-amazon.com/images/I/71c92YS9loL.jpg","4","Blue Titanium","256 GB",
"R2R0MVKEA0TXA2","Wasil Akhtar","Just looking like a wow❤️","Reviewed in India on 27 December 2023","Just looking like a wow❤️","5.0 out of 5 stars","","3","Natural Titanium","128 GB",
"R1ESV7C2U5PCHM","bijoy das","As Expected awesome product","Reviewed in India on 20 December 2023","Awesome","5.0 out of 5 stars","","5","White Titanium","256 GB",
"R35JIJ1WZ815PO","Ashish","They are not accepting return or replacement, although its clearly mentioned 7 days replacement policy. They are saying you need to visit brand store. Why do I visit brand store if its eligible for replacement. Don't buy this. There are lots of heating issues.I am going to make a consumer complaint against it.1. Camera quality is much better in iphone 112. Not satified with build quality3. Heating issues are there, even after upgrading to latest software","Reviewed in India on 16 November 2023","Not accepting return and replacement","1.0 out of 5 stars","","237","Blue Titanium","128 GB",
"R3K8EATI5NOO4I","Kishor Babani","iPhones are becoming more competitive every year but this year a new iPhone Pro didn't last a day for me. 13 Pro and 14 Pro were better in battery department. I switched over to 15 Pro Max. Thanks to the less weight due to titanium body. This year Pro Max is the best choice or 15 Plus for budget.","Reviewed in India on 19 January 2024","It could be better in battery and camera department","4.0 out of 5 stars","","0","Natural Titanium","128 GB",
"R2CWSBZ2ONJM1W","Sahil Qureshi","I recently got into Apple system with a purchase of iPad Air 5. Looking at the my usage, iPad fit well with my overall system so I decided to switch to iPhone from OnePlus 7 after 4 years of usage.I have to say that iPhone does have a premium feel to it, not only in appearance but in performance and UI too. Switching and transferring data and WhatsApp are fairly simple now with Move to IOS app. After setting up my phone in a day, it was ready for daily use without keeping my Android along as a secondary device.Big worry before buying 15 pro was reported overheating issues but Apple has fixed that problem with iOS 17.0.3 and I haven’t encountered heating issues after initial setup process.I will get straight to pros and cons below:Pros:1. ProMotion: You can feel 120hz vs 60hz right away.2. Camera: Point and shoot without hassle. But one needs to check out few YouTube tutorials to understand Camera app settings thoroughly.3. Customisation: Yes this sounds strange but Shortcuts app on iOS is so powerful. You can do many system level customisation with shortcuts and automation.4. Battery life: With medium usage, I get through whole day. Stats for nerds: it averages above 4.2 min per 1% discharge and gives me 7+ hrs of estimated SOT. Estimated here because I don’t use full 0-100% charge and discharge cycles.5. Performance and Security: No further description should be required.6. 80% Charge limit: This setting helps when I keep my phone plugged in to car for CarPlay because it stops overcharging to 100%.7. Weight: I haven’t myself experienced difference in in-hand feel of 15 Pro vs previous generation Pro models but my colleagues and friends who own Pro model of previous generations notice the difference in weight first hand.Cons:1. Apple keyboard takes some typing to get used to.2. Notifications could be a mess if you like having notification from all apps enabled. I keep most of mine turned off so no biggie for me.3. Simple tasks as custom ringtone, streaming music to car through Bluetooth needs work around or hacks you find on YouTube.","Reviewed in India on 12 November 2023","Best Phone at this price range (Pun intended)","4.0 out of 5 stars","","22","Natural Titanium","256 GB",
"RGFGUORYCWEU1","I phone 15 pro natural titanium 256gb","The phone was good but battery drains too fast .but as I listened 15 pro series having heating issues my device doesn't have.and not have any kind of bug","Reviewed in India on 7 January 2024","Amazing","4.0 out of 5 stars","https://m.media-amazon.com/images/I/71l9WqNJ7vL.jpg","5","Natural Titanium","256 GB",
"R2YW7JLP5QPTPA","K","Battery doesn’t last long.","Reviewed in India on 11 January 2024","Great with not so great battery","4.0 out of 5 stars","https://m.media-amazon.com/images/I/81VcYE0LtsL.jpg","0","Natural Titanium","128 GB",
"R3AJIH17ELZELH","Adarsh Kunwar","I had a iPhone 13 , and now switched to this, the main noticeable difference is the telephoto camera nothing much and the type c","Reviewed in India on 2 January 2024","You are getting what you see","4.0 out of 5 stars","","0","Blue Titanium","128 GB",
"R2XR624G4WV0RP","AVI deOry","Just got the hands on this new iP15Pro and well at the first glance it looks so classy but not as premium as old stainless steel models. Although bc of titanium body its now v light weight so kindda win win situation for me atleast. I have been using iP14PM from past 1 year now and had to say no significant difference i can notice in speed, camera and all. So final verdict If you are using old iP’s such as X,11,12 series then sure go ahead for iP15P/M but if you are using iP13,14 series then nahh dont upgrade not worth it at all. Also no heating issues I can feel in iP15Pro till now. Attached product image ;) Stay safe!!","Reviewed in India on 26 October 2023","Ah, what to say even!!","4.0 out of 5 stars","https://m.media-amazon.com/images/I/615JNEvjRCL.jpg
https://m.media-amazon.com/images/I/61HickBgoqL.jpg
https://m.media-amazon.com/images/I/61TsO8JoMGL.jpg
https://m.media-amazon.com/images/I/61wpZCNCSXL.jpg
https://m.media-amazon.com/images/I/71c-r5o24sL.jpg","48","Natural Titanium","256 GB",
"R20TE0EAI4PK8X","SHAKUNTLA KUMARI","good","Reviewed in India on 20 October 2023","good","3.0 out of 5 stars","","13","Natural Titanium","128 GB",
"R2GEKEVFFL7OWM","Devesh","Good product.Thank you Amazon for your service and delivering genuine product.","Reviewed in India on 5 November 2023","Good","5.0 out of 5 stars","https://m.media-amazon.com/images/I/61fE6bO3UkL.jpg
https://m.media-amazon.com/images/I/61lzLPfSPHL.jpg
https://m.media-amazon.com/images/I/71kQB5i67IL.jpg","12","Natural Titanium","256 GB",
"R2MRSIG6W1BAHY","Ngahon","Amazing","Reviewed in India on 10 November 2023","Satisfied","5.0 out of 5 stars","","7","Natural Titanium","128 GB",
"R2YP56UFH3JIPX","Aniket Kakade","Heating issues is only rumours about this phone. I think after is update it is resolved","Reviewed in India on 27 October 2023","Perfect Pro","5.0 out of 5 stars","","13","Natural Titanium","128 GB",
"R1PT3W6AVGO7NM","Amazon Customer","Great phone but not value for money especially for Indians, due to lots of import tax","Reviewed in India on 8 November 2023","Great phone but not value for money especially for Indians, due to lots of import tax","5.0 out of 5 stars","","29","Natural Titanium","128 GB",
"R3SBT2GF3593FO","Bharath","Performance is best in class, design same as boring old design, cost hight, overall not worth buying with same experience as 15 and 14 no change better to go with 13. Even just 15 has better value for money ratio than 15 pro. 13 is value for money if u have money then go for 15. 15 pro is waste of money","Reviewed in India on 11 November 2023","Good phone but not worth buying","1.0 out of 5 stars","","18","Natural Titanium","256 GB",
"R101LWD2C9OFLU","B. Vennela","Good productGood CemaraGood displayVery nice torch displayOsm productFast changing. phone  good priceThanks for Amazon very nice product","Reviewed in India on 8 January 2024","Thanks for Amazon 😍","4.0 out of 5 stars","https://m.media-amazon.com/images/I/71XCBnwhhOL.jpg
https://m.media-amazon.com/images/I/71ntxK8JH7L.jpg","0","Blue Titanium","128 GB",
"R1GYZDHHOM6SL","Sid","I’m already in apple ecosystem.I’d an iPhone 14 which I brought in may.Since I was already on a trip in Thailand, brought this for 98k there.The mere feeling of holding the fastest phone on the planet with the first 3nm chip which can even play PC/PS5 level games is too Damn awesome!","Reviewed in India on 28 December 2023","Stunner","4.0 out of 5 stars","","0","Natural Titanium","128 GB",
"R192SS07B8B4A9","Amit V.",false,"Reviewed in India on 26 October 2023","100% Genuine product. go for it. Same day delivery with prime","5.0 out of 5 stars","","13","Blue Titanium","128 GB",
"R17EJ0QDJ4SZI5","aditya","Bought a 15 Pro from Dubai for 90k and it’s great iPhone for that price. But it’s extremely overpriced in India. There’s no way this iPhone is worth 1.3L. Avoid buying it in India or go for a 13-14 (both are great)","Reviewed in India on 22 December 2023","Great as always, but not worth the price tag","3.0 out of 5 stars","","7","Natural Titanium","128 GB",
"RLWRTKBQGSGIK","Harsh Viper","1St Review for 15 Pro 😍😍😍 Go for Natural titanium…… but s23 have best display then 15 pro….","Reviewed in India on 2 October 2023","Smooth Best Performance","5.0 out of 5 stars","https://m.media-amazon.com/images/I/71p+HxveMUL.jpg","77","Natural Titanium","1 TB",
"R16I2276KOQFHA","Placeholder","Very good and very nice phone sell best and Jada bikne wala phone aaj hi lo is phone ko please bahut aacha h","Reviewed in India on 11 October 2023","Nc camera","3.0 out of 5 stars","https://m.media-amazon.com/images/I/81orqyxuyiL.jpg","14","Blue Titanium","512 GB",
